model,location,year,price,mileage,engine_type,transmission
Suzuki Mehran VX, Eden Gardens Faisalabad Punjab,2012,700000,100000,Petrol,Manual
Toyota Fortuner 27, Kallar Kahar Road Chakwal Punjab,2013,7000000,94000,Petrol,Automatic
Suzuki Mehran VX, Muzaffar Gargh Punjab,2015,800000,86000,Petrol,Manual
Suzuki MR Wagon, Rafi Qamar Road Bahawalpur Punjab,2011,1300000,97000,Petrol,Automatic
Honda BRV iVTEC, Marala Road Sialkot Punjab,2018,3600000,56000,Petrol,Automatic
KIA Picanto 2022, 204 Chak Road Faisalabad Punjab,2022,3200000,10,Petrol,Automatic
Mitsubishi Pajero GLX, DHA Karachi Sindh,2004,4200000,190000,Diesel,Automatic
Mitsubishi Lancer 2006, G 9 Islamabad Islamabad,2006,2400000,85000,Petrol,Automatic
Toyota Aqua G, DHA Defence Karachi Sindh,2014,3300000,149252,Hybrid,Automatic
Toyota Vitz F, GulBahar Peshawar KPK,1999,1300000,150000,Petrol,Automatic
Toyota Corolla Altis, Hasilpur Punjab,2016,3200000,46000,Petrol,Manual
Toyota Premio X, Ayub Park Rawalpindi Punjab,2007,3700000,180000,Petrol,Automatic
Honda City 13, DHA Defence Karachi Sindh,2012,1900000,65000,Petrol,Manual
Toyota Passo X, Shamsi Road Mardan KPK,2021,3500000,68000,Petrol,Automatic
Toyota Corolla GLi, Islamabad Highway Islamabad Islamabad,2017,3400000,90000,Petrol,Automatic
Suzuki Cultus EURO, Kaghan Colony Abbottabad KPK,2017,1600000,83333,Petrol,Manual
Adam Revo 2021, GT Road Gujrat Punjab,2021,9800000,36000,Diesel,Automatic
Suzuki Wagon R, Lahore Sargodha Road Sheikhupura Punjab,2018,2000000,65000,Petrol,Manual
Toyota Yaris ATIV, Gujranwala Punjab,2020,3300000,15000,Petrol,Manual
Daihatsu Tanto X, Gulberg Colony Khanewal Punjab,2018,1800000,87000,Petrol,Automatic
Toyota Passo 2013, Cantt Lahore Punjab,2013,2300000,106000,Petrol,Automatic
Toyota Prado TX, Arifwala Punjab,2017,300000,15000,Petrol,Automatic
Toyota Passo G, BOR Housing Society Lahore Punjab,2009,1700000,81000,Petrol,Automatic
Honda Civic VTi, BOR Housing Society Lahore Punjab,2013,2700000,148000,Petrol,Automatic
Toyota Aqua G, Hakimabad Nowshera KPK,2016,4700000,26,Hybrid,Automatic
Toyota Corolla GLi, Cantt Peshawar KPK,2017,2400000,1,Petrol,Manual
Toyota Corolla Altis, Bahria Town Islamabad Islamabad,2019,3800000,37500,Petrol,Automatic
Toyota Corolla XLi, Aftab Garden Lahore Punjab,2006,1200000,55000,Petrol,Manual
Toyota Corolla 2006, Peshawar KPK,2006,2400000,230000,Petrol,Automatic
Toyota Corolla SE, GulistaneJauhar Karachi Sindh,2003,1700000,150000,Petrol,Manual
Suzuki Mehran VXR, G 6 Islamabad Islamabad,2015,900000,70000,Petrol,Manual
Suzuki Wagon R, Sheikhupura Road Gujranwala Punjab,2022,2500000,3300,Petrol,Manual
Toyota Hilux D4D, Bahawalpur Punjab,2012,5800000,100000,Diesel,Automatic
Haval Jolion 2021, Warsak Road Peshawar KPK,2021,7400000,5000,Petrol,Automatic
Toyota Yaris ATIV, Bahria Town Islamabad Islamabad,2021,4100000,16000,Petrol,Automatic
Toyota Corolla Assista, Talagang Punjab,1995,1000000,500000,Diesel,Automatic
Honda Civic Oriel, Model Town Multan Punjab,2018,4200000,55000,Petrol,Automatic
Honda Civic 2013, Abbottabad KPK,2013,3000000,147549,Petrol,Automatic
Toyota Corolla Altis, Sadiq Town Rahim Yar Khan Punjab,2018,5000000,25000,Petrol,Automatic
Toyota Corolla GLi, Jinnah Garden Islamabad Islamabad,2015,2700000,140000,Petrol,Manual
MG HS 15, Eden Gardens Faisalabad Punjab,2022,8000000,400,Petrol,Automatic
Toyota Vitz F, Islamabad Islamabad,2018,3500000,28500,Petrol,Automatic
Honda Civic 18, Gojra Punjab,2017,4000000,76000,Petrol,Automatic
Suzuki Wagon R, Bahria Town Rawalpindi Rawalpindi Punjab,2017,2000000,36500,Petrol,Manual
Toyota Vitz 2016, Azmat Road DGKhan Punjab,2016,2700000,62000,Petrol,Automatic
Suzuki Wagon R, Islamabad Islamabad,2022,2700000,10,Petrol,Manual
Suzuki Baleno JXL, Karachi Sindh,2002,600000,160780,Petrol,Manual
Daihatsu Thor 2018, Citi Housing Society Gujranwala Punjab,2018,3000000,49500,Petrol,Automatic
Toyota Vitz F, Bahria Town Rawalpindi Rawalpindi Punjab,2015,2800000,99042,Petrol,Automatic
Toyota Fortuner TRD, Phalia Mandi Bahauddin Road Mandi bahauddin Punjab,2015,7000000,57500,Petrol,Automatic
Hyundai Elantra GL, Eden Gardens Faisalabad Punjab,2022,5300000,70,Petrol,Automatic
Toyota Corolla GLi, Meena Bazar Attock Punjab,2014,2200000,162000,Petrol,Manual
Mitsubishi Pajero Exceed, DHA Karachi Sindh,1997,2000000,210000,Diesel,Automatic
